UE 335e: dlsch_rounds 40956/2561/18/3, dlsch_errors 2, pucch0_DTX 9, BLER 0.04436 MCS (0) 21
UE 335e: dlsch_rounds 42549/2691/18/3, dlsch_errors 2, pucch0_DTX 9, BLER 0.09183 MCS (0) 19
UE 335e: dlsch_rounds 44148/2823/18/3, dlsch_errors 2, pucch0_DTX 9, BLER 0.17087 MCS (0) 20
UE 335e: dlsch_rounds 44800/2868/19/3, dlsch_errors 2, pucch0_DTX 9, BLER 0.34439 MCS (0) 11
UE 335e: dlsch_rounds 44827/2874/19/3, dlsch_errors 2, pucch0_DTX 9, BLER 0.24530 MCS (0) 3
UE 335e: dlsch_rounds 44883/2875/19/3, dlsch_errors 2, pucch0_DTX 10, BLER 0.07985 MCS (0) 3
UE 335e: dlsch_rounds 44929/2883/19/3, dlsch_errors 2, pucch0_DTX 10, BLER 0.20936 MCS (0) 4
UE 335e: dlsch_rounds 44957/2883/19/3, dlsch_errors 2, pucch0_DTX 10, BLER 0.05913 MCS (0) 3
UE 335e: dlsch_rounds 44978/2883/19/3, dlsch_errors 2, pucch0_DTX 10, BLER 0.01670 MCS (0) 3
UE 335e: dlsch_rounds 45006/2893/19/3, dlsch_errors 2, pucch0_DTX 10, BLER 0.32623 MCS (0) 5
UE 335e: dlsch_rounds 45045/2893/19/3, dlsch_errors 2, pucch0_DTX 10, BLER 0.09214 MCS (0) 3
UE 335e: dlsch_rounds 45080/2895/19/3, dlsch_errors 2, pucch0_DTX 10, BLER 0.19702 MCS (0) 6
UE 335e: dlsch_rounds 45111/2895/19/3, dlsch_errors 2, pucch0_DTX 10, BLER 0.05008 MCS (0) 3
UE 335e: dlsch_rounds 45142/2901/19/3, dlsch_errors 2, pucch0_DTX 10, BLER 0.13601 MCS (0) 3
UE 335e: dlsch_rounds 45179/2901/19/3, dlsch_errors 2, pucch0_DTX 10, BLER 0.03457 MCS (0) 3
UE 335e: dlsch_rounds 46616/3100/19/3, dlsch_errors 2, pucch0_DTX 10, BLER 0.13876 MCS (0) 16
UE 335e: dlsch_rounds 48214/3226/19/3, dlsch_errors 2, pucch0_DTX 10, BLER 0.20334 MCS (0) 22
UE 335e: dlsch_rounds 49969/3227/19/3, dlsch_errors 2, pucch0_DTX 10, BLER 0.05416 MCS (0) 19
UE 335e: dlsch_rounds 51540/3377/20/4, dlsch_errors 3, pucch0_DTX 10, BLER 0.11576 MCS (0) 15
UE 335e: dlsch_rounds 51707/3413/20/4, dlsch_errors 3, pucch0_DTX 10, BLER 0.59328 MCS (0) 7
UE 335e: dlsch_rounds 51763/3415/20/4, dlsch_errors 3, pucch0_DTX 10, BLER 0.17905 MCS (0) 3
UE 335e: dlsch_rounds 51796/3415/20/4, dlsch_errors 3, pucch0_DTX 10, BLER 0.05057 MCS (0) 3
UE 335e: dlsch_rounds 51832/3422/20/4, dlsch_errors 3, pucch0_DTX 10, BLER 0.14917 MCS (0) 5
UE 335e: dlsch_rounds 51863/3422/20/4, dlsch_errors 3, pucch0_DTX 10, BLER 0.04213 MCS (0) 3
UE 335e: dlsch_rounds 51891/3428/20/4, dlsch_errors 3, pucch0_DTX 10, BLER 0.19347 MCS (0) 3
UE 335e: dlsch_rounds 51919/3428/20/4, dlsch_errors 3, pucch0_DTX 10, BLER 0.05464 MCS (0) 3
UE 335e: dlsch_rounds 53142/3456/20/4, dlsch_errors 3, pucch0_DTX 10, BLER 0.02945 MCS (0) 15
UE 335e: dlsch_rounds 54867/3479/20/4, dlsch_errors 3, pucch0_DTX 10, BLER 0.01729 MCS (0) 15
UE 335e: dlsch_rounds 56583/3513/22/4, dlsch_errors 3, pucch0_DTX 11, BLER 0.01928 MCS (0) 15
UE 335e: dlsch_rounds 58142/3548/22/4, dlsch_errors 3, pucch0_DTX 11, BLER 0.02119 MCS (0) 15
UE 335e: dlsch_rounds 59714/3703/23/5, dlsch_errors 4, pucch0_DTX 11, BLER 0.17201 MCS (0) 21
UE 335e: dlsch_rounds 61461/3707/23/5, dlsch_errors 4, pucch0_DTX 11, BLER 0.04928 MCS (0) 21
UE 335e: dlsch_rounds 63011/3837/23/5, dlsch_errors 4, pucch0_DTX 11, BLER 0.08248 MCS (0) 19
UE 335e: dlsch_rounds 64595/3976/23/5, dlsch_errors 4, pucch0_DTX 11, BLER 0.15688 MCS (0) 19
UE 335e: dlsch_rounds 65810/3998/23/5, dlsch_errors 4, pucch0_DTX 11, BLER 0.03988 MCS (0) 24
UE 335e: dlsch_rounds 66205/4163/23/5, dlsch_errors 4, pucch0_DTX 11, BLER 0.10524 MCS (0) 14
UE 335e: dlsch_rounds 66575/4222/23/5, dlsch_errors 4, pucch0_DTX 11, BLER 0.03269 MCS (0) 23
UE 335e: dlsch_rounds 67741/4290/23/5, dlsch_errors 4, pucch0_DTX 11, BLER 0.06326 MCS (0) 20
UE 335e: dlsch_rounds 68512/4390/32/6, dlsch_errors 5, pucch0_DTX 11, BLER 0.21917 MCS (0) 9
UE 335e: dlsch_rounds 68547/4394/32/6, dlsch_errors 5, pucch0_DTX 11, BLER 0.15020 MCS (0) 3
UE 335e: dlsch_rounds 68636/4401/32/6, dlsch_errors 5, pucch0_DTX 11, BLER 0.16818 MCS (0) 8
UE 335e: dlsch_rounds 68679/4404/32/6, dlsch_errors 5, pucch0_DTX 11, BLER 0.07884 MCS (0) 3
UE 335e: dlsch_rounds 68725/4414/32/6, dlsch_errors 5, pucch0_DTX 11, BLER 0.33178 MCS (0) 4
UE 335e: dlsch_rounds 68779/4414/32/6, dlsch_errors 5, pucch0_DTX 11, BLER 0.09370 MCS (0) 3
UE 335e: dlsch_rounds 68818/4423/32/6, dlsch_errors 5, pucch0_DTX 11, BLER 0.29724 MCS (0) 5
UE 335e: dlsch_rounds 68837/4423/32/6, dlsch_errors 5, pucch0_DTX 11, BLER 0.09328 MCS (0) 3
UE 335e: dlsch_rounds 69626/4609/32/6, dlsch_errors 5, pucch0_DTX 11, BLER 0.24600 MCS (0) 20
UE 335e: dlsch_rounds 71369/4609/32/6, dlsch_errors 5, pucch0_DTX 11, BLER 0.06253 MCS (0) 16
UE 335e: dlsch_rounds 72802/4739/32/6, dlsch_errors 5, pucch0_DTX 11, BLER 0.10749 MCS (0) 19
UE 335e: dlsch_rounds 74357/4870/32/6, dlsch_errors 5, pucch0_DTX 11, BLER 0.20589 MCS (0) 22
UE 335e: dlsch_rounds 76049/4872/32/6, dlsch_errors 5, pucch0_DTX 11, BLER 0.05419 MCS (0) 19
UE 335e: dlsch_rounds 77599/5004/32/6, dlsch_errors 5, pucch0_DTX 11, BLER 0.09961 MCS (0) 19
UE 335e: dlsch_rounds 79138/5132/32/6, dlsch_errors 5, pucch0_DTX 11, BLER 0.18877 MCS (0) 21
UE 335e: dlsch_rounds 79269/5133/32/6, dlsch_errors 5, pucch0_DTX 11, BLER 0.06614 MCS (0) 11
UE 335e: dlsch_rounds 79362/5149/32/6, dlsch_errors 5, pucch0_DTX 11, BLER 0.17796 MCS (0) 3
UE 335e: dlsch_rounds 79405/5149/32/6, dlsch_errors 5, pucch0_DTX 11, BLER 0.04523 MCS (0) 10
UE 335e: dlsch_rounds 79458/5165/32/6, dlsch_errors 5, pucch0_DTX 11, BLER 0.12540 MCS (0) 3
UE 335e: dlsch_rounds 79482/5168/32/6, dlsch_errors 5, pucch0_DTX 11, BLER 0.13935 MCS (0) 9
UE 335e: dlsch_rounds 79515/5175/32/6, dlsch_errors 5, pucch0_DTX 11, BLER 0.14435 MCS (0) 3
UE 335e: dlsch_rounds 79557/5179/32/6, dlsch_errors 5, pucch0_DTX 11, BLER 0.16669 MCS (0) 8
UE 335e: dlsch_rounds 79580/5181/32/6, dlsch_errors 5, pucch0_DTX 11, BLER 0.11333 MCS (0) 3
UE 335e: dlsch_rounds 79603/5181/32/6, dlsch_errors 5, pucch0_DTX 11, BLER 0.03201 MCS (0) 3
UE 335e: dlsch_rounds 80310/5191/32/6, dlsch_errors 5, pucch0_DTX 11, BLER 0.01392 MCS (0) 15
UE 335e: dlsch_rounds 82038/5231/32/6, dlsch_errors 5, pucch0_DTX 11, BLER 0.02015 MCS (0) 15
UE 335e: dlsch_rounds 83659/5267/33/6, dlsch_errors 5, pucch0_DTX 12, BLER 0.02404 MCS (0) 15
UE 335e: dlsch_rounds 85342/5338/34/6, dlsch_errors 5, pucch0_DTX 12, BLER 0.02416 MCS (0) 23
UE 335e: dlsch_rounds 86982/5432/34/6, dlsch_errors 5, pucch0_DTX 12, BLER 0.06392 MCS (0) 20
UE 335e: dlsch_rounds 88544/5566/34/6, dlsch_errors 5, pucch0_DTX 12, BLER 0.11235 MCS (0) 19
UE 335e: dlsch_rounds 90150/5689/34/6, dlsch_errors 5, pucch0_DTX 13, BLER 0.11596 MCS (0) 23
UE 335e: dlsch_rounds 91880/5707/34/6, dlsch_errors 5, pucch0_DTX 13, BLER 0.06320 MCS (0) 19
