UE d5aa: dlsch_rounds 43499/2723/3/3, dlsch_errors 2, pucch0_DTX 2, BLER 0.00020 MCS (0) 12
UE d5aa: dlsch_rounds 43534/2723/3/3, dlsch_errors 2, pucch0_DTX 2, BLER 0.00006 MCS (0) 9
UE d5aa: dlsch_rounds 43594/2723/3/3, dlsch_errors 2, pucch0_DTX 2, BLER 0.00001 MCS (0) 11
UE d5aa: dlsch_rounds 43650/2723/3/3, dlsch_errors 2, pucch0_DTX 2, BLER 0.00000 MCS (0) 10
UE d5aa: dlsch_rounds 44541/2938/3/3, dlsch_errors 2, pucch0_DTX 2, BLER 0.19111 MCS (0) 18
UE d5aa: dlsch_rounds 46298/2940/3/3, dlsch_errors 2, pucch0_DTX 2, BLER 0.04858 MCS (0) 23
UE d5aa: dlsch_rounds 47836/3081/3/3, dlsch_errors 2, pucch0_DTX 2, BLER 0.08131 MCS (0) 18
UE d5aa: dlsch_rounds 49420/3235/3/3, dlsch_errors 2, pucch0_DTX 2, BLER 0.12136 MCS (0) 22
UE d5aa: dlsch_rounds 51055/3363/3/3, dlsch_errors 2, pucch0_DTX 2, BLER 0.08444 MCS (0) 21
UE d5aa: dlsch_rounds 52732/3443/3/3, dlsch_errors 2, pucch0_DTX 2, BLER 0.05801 MCS (0) 21
UE d5aa: dlsch_rounds 54411/3528/3/3, dlsch_errors 2, pucch0_DTX 2, BLER 0.05505 MCS (0) 21
UE d5aa: dlsch_rounds 56029/3656/3/3, dlsch_errors 2, pucch0_DTX 2, BLER 0.07756 MCS (0) 22
UE d5aa: dlsch_rounds 57602/3835/3/3, dlsch_errors 2, pucch0_DTX 2, BLER 0.09803 MCS (0) 21
UE d5aa: dlsch_rounds 59286/3905/3/3, dlsch_errors 2, pucch0_DTX 2, BLER 0.05676 MCS (0) 21
UE d5aa: dlsch_rounds 60815/4128/3/3, dlsch_errors 2, pucch0_DTX 2, BLER 0.13601 MCS (0) 21
UE d5aa: dlsch_rounds 62474/4224/3/3, dlsch_errors 2, pucch0_DTX 2, BLER 0.07612 MCS (0) 21
UE d5aa: dlsch_rounds 62592/4246/4/4, dlsch_errors 3, pucch0_DTX 2, BLER 0.03151 MCS (0) 11
UE d5aa: dlsch_rounds 62657/4246/4/4, dlsch_errors 3, pucch0_DTX 2, BLER 0.00801 MCS (0) 15
UE d5aa: dlsch_rounds 62678/4246/4/4, dlsch_errors 3, pucch0_DTX 2, BLER 0.00226 MCS (0) 3
UE d5aa: dlsch_rounds 62740/4246/4/4, dlsch_errors 3, pucch0_DTX 2, BLER 0.00057 MCS (0) 17
UE d5aa: dlsch_rounds 64138/4465/4/4, dlsch_errors 3, pucch0_DTX 2, BLER 0.11698 MCS (0) 16
UE d5aa: dlsch_rounds 65701/4624/4/4, dlsch_errors 3, pucch0_DTX 2, BLER 0.22079 MCS (0) 21
UE d5aa: dlsch_rounds 67457/4625/4/4, dlsch_errors 3, pucch0_DTX 2, BLER 0.05788 MCS (0) 18
UE d5aa: dlsch_rounds 68979/4844/4/4, dlsch_errors 3, pucch0_DTX 2, BLER 0.14993 MCS (0) 21
UE d5aa: dlsch_rounds 70654/4930/4/4, dlsch_errors 3, pucch0_DTX 2, BLER 0.07537 MCS (0) 21
UE d5aa: dlsch_rounds 72306/5033/4/4, dlsch_errors 3, pucch0_DTX 2, BLER 0.06747 MCS (0) 21
UE d5aa: dlsch_rounds 73969/5119/4/4, dlsch_errors 3, pucch0_DTX 2, BLER 0.05452 MCS (0) 21
UE d5aa: dlsch_rounds 74508/5145/4/4, dlsch_errors 3, pucch0_DTX 2, BLER 0.06159 MCS (0) 23
UE d5aa: dlsch_rounds 74570/5152/4/4, dlsch_errors 3, pucch0_DTX 2, BLER 0.07979 MCS (0) 23
UE d5aa: dlsch_rounds 74631/5156/4/4, dlsch_errors 3, pucch0_DTX 2, BLER 0.06832 MCS (0) 23
UE d5aa: dlsch_rounds 74775/5233/4/4, dlsch_errors 3, pucch0_DTX 2, BLER 0.11728 MCS (0) 17
UE d5aa: dlsch_rounds 74847/5233/4/4, dlsch_errors 3, pucch0_DTX 2, BLER 0.03312 MCS (0) 15
UE d5aa: dlsch_rounds 74887/5233/4/4, dlsch_errors 3, pucch0_DTX 2, BLER 0.00842 MCS (0) 12
UE d5aa: dlsch_rounds 74981/5233/4/4, dlsch_errors 3, pucch0_DTX 2, BLER 0.00238 MCS (0) 12
UE d5aa: dlsch_rounds 75043/5233/4/4, dlsch_errors 3, pucch0_DTX 2, BLER 0.00060 MCS (0) 11
UE d5aa: dlsch_rounds 75581/5233/4/4, dlsch_errors 3, pucch0_DTX 2, BLER 0.00015 MCS (0) 15
UE d5aa: dlsch_rounds 76810/5233/4/4, dlsch_errors 3, pucch0_DTX 2, BLER 0.00004 MCS (0) 15
UE d5aa: dlsch_rounds 78171/5233/4/4, dlsch_errors 3, pucch0_DTX 2, BLER 0.00001 MCS (0) 15
UE d5aa: dlsch_rounds 78714/5233/4/4, dlsch_errors 3, pucch0_DTX 2, BLER 0.00000 MCS (0) 15
UE d5aa: dlsch_rounds 79445/5428/4/4, dlsch_errors 3, pucch0_DTX 2, BLER 0.18712 MCS (0) 19
UE d5aa: dlsch_rounds 81196/5430/4/4, dlsch_errors 3, pucch0_DTX 2, BLER 0.04777 MCS (0) 24
UE d5aa: dlsch_rounds 82673/5650/4/4, dlsch_errors 3, pucch0_DTX 2, BLER 0.13529 MCS (0) 14
UE d5aa: dlsch_rounds 84327/5735/4/4, dlsch_errors 3, pucch0_DTX 2, BLER 0.09157 MCS (0) 22
UE d5aa: dlsch_rounds 85951/5855/4/4, dlsch_errors 3, pucch0_DTX 2, BLER 0.06952 MCS (0) 20
UE d5aa: dlsch_rounds 87485/6050/4/4, dlsch_errors 3, pucch0_DTX 2, BLER 0.14104 MCS (0) 20
UE d5aa: dlsch_rounds 89209/6078/4/4, dlsch_errors 3, pucch0_DTX 2, BLER 0.05257 MCS (0) 21
UE d5aa: dlsch_rounds 90872/6165/4/4, dlsch_errors 3, pucch0_DTX 4, BLER 0.05308 MCS (0) 21
UE d5aa: dlsch_rounds 91630/6207/4/4, dlsch_errors 3, pucch0_DTX 4, BLER 0.02853 MCS (0) 15
UE d5aa: dlsch_rounds 91678/6207/4/4, dlsch_errors 3, pucch0_DTX 4, BLER 0.00725 MCS (0) 9
UE d5aa: dlsch_rounds 91909/6207/4/4, dlsch_errors 3, pucch0_DTX 4, BLER 0.00184 MCS (0) 14
UE d5aa: dlsch_rounds 92005/6207/4/4, dlsch_errors 3, pucch0_DTX 4, BLER 0.00047 MCS (0) 11
UE d5aa: dlsch_rounds 92108/6207/4/4, dlsch_errors 3, pucch0_DTX 4, BLER 0.00013 MCS (0) 13
UE d5aa: dlsch_rounds 92213/6207/4/4, dlsch_errors 3, pucch0_DTX 4, BLER 0.00003 MCS (0) 14
UE d5aa: dlsch_rounds 92339/6207/4/4, dlsch_errors 3, pucch0_DTX 4, BLER 0.00001 MCS (0) 15
UE d5aa: dlsch_rounds 93974/6207/4/4, dlsch_errors 3, pucch0_DTX 4, BLER 0.00000 MCS (0) 15
UE d5aa: dlsch_rounds 95453/6408/5/4, dlsch_errors 3, pucch0_DTX 4, BLER 0.12416 MCS (0) 18
UE d5aa: dlsch_rounds 97140/6463/5/4, dlsch_errors 3, pucch0_DTX 4, BLER 0.06271 MCS (0) 22
UE d5aa: dlsch_rounds 98649/6692/5/4, dlsch_errors 3, pucch0_DTX 4, BLER 0.12295 MCS (0) 21
UE d5aa: dlsch_rounds 100325/6769/5/4, dlsch_errors 3, pucch0_DTX 4, BLER 0.06620 MCS (0) 21
UE d5aa: dlsch_rounds 101994/6858/5/4, dlsch_errors 3, pucch0_DTX 4, BLER 0.06056 MCS (0) 22
UE d5aa: dlsch_rounds 103492/7101/5/4, dlsch_errors 3, pucch0_DTX 4, BLER 0.13151 MCS (0) 21
UE d5aa: dlsch_rounds 105183/7167/5/4, dlsch_errors 3, pucch0_DTX 4, BLER 0.06440 MCS (0) 21
UE d5aa: dlsch_rounds 106847/7262/5/4, dlsch_errors 3, pucch0_DTX 4, BLER 0.06027 MCS (0) 21
UE d5aa: dlsch_rounds 107870/7314/5/4, dlsch_errors 3, pucch0_DTX 4, BLER 0.03719 MCS (0) 22
UE d5aa: dlsch_rounds 107933/7324/5/4, dlsch_errors 3, pucch0_DTX 4, BLER 0.08306 MCS (0) 20
UE d5aa: dlsch_rounds 108040/7375/5/4, dlsch_errors 3, pucch0_DTX 4, BLER 0.16431 MCS (0) 23
UE d5aa: dlsch_rounds 108105/7375/5/4, dlsch_errors 3, pucch0_DTX 4, BLER 0.06436 MCS (0) 14
UE d5aa: dlsch_rounds 108150/7375/5/4, dlsch_errors 3, pucch0_DTX 4, BLER 0.02020 MCS (0) 5
UE d5aa: dlsch_rounds 108246/7375/5/4, dlsch_errors 3, pucch0_DTX 4, BLER 0.00513 MCS (0) 14
UE d5aa: dlsch_rounds 108306/7375/5/4, dlsch_errors 3, pucch0_DTX 4, BLER 0.00145 MCS (0) 11
UE d5aa: dlsch_rounds 108345/7375/5/4, dlsch_errors 3, pucch0_DTX 4, BLER 0.00041 MCS (0) 7
UE d5aa: dlsch_rounds 108407/7375/5/4, dlsch_errors 3, pucch0_DTX 4, BLER 0.00010 MCS (0) 12
UE d5aa: dlsch_rounds 109336/7375/5/4, dlsch_errors 3, pucch0_DTX 4, BLER 0.00003 MCS (0) 15
UE d5aa: dlsch_rounds 110440/7375/5/4, dlsch_errors 3, pucch0_DTX 4, BLER 0.00001 MCS (0) 15
UE d5aa: dlsch_rounds 112146/7377/5/4, dlsch_errors 3, pucch0_DTX 6, BLER 0.00054 MCS (0) 15
UE d5aa: dlsch_rounds 112838/7379/5/4, dlsch_errors 3, pucch0_DTX 8, BLER 0.00154 MCS (0) 15
UE d5aa: dlsch_rounds 114597/7379/5/4, dlsch_errors 3, pucch0_DTX 8, BLER 0.00039 MCS (0) 15
UE d5aa: dlsch_rounds 115095/7379/5/4, dlsch_errors 3, pucch0_DTX 8, BLER 0.00011 MCS (0) 13
UE d5aa: dlsch_rounds 115736/7489/5/4, dlsch_errors 3, pucch0_DTX 8, BLER 0.10859 MCS (0) 23
UE d5aa: dlsch_rounds 117386/7575/5/4, dlsch_errors 3, pucch0_DTX 8, BLER 0.07183 MCS (0) 17
UE d5aa: dlsch_rounds 118873/7796/5/4, dlsch_errors 3, pucch0_DTX 8, BLER 0.20167 MCS (0) 17
UE d5aa: dlsch_rounds 120621/7796/5/4, dlsch_errors 3, pucch0_DTX 8, BLER 0.05126 MCS (0) 15
